"Timestamp","The Bible trivia question:","The correct answer:","The first wrong answer:","The second wrong answer:","The third wrong answer:","For more details read (ex: John 3:16):","Your name (leave blank if you want to remain anonymous):"
"2017/12/20 8:49:13 PM EST","What is the first thing an Israelite was instructed to do if they learned that they unknowingly sinned?","Confess in what way they have sinned","Sacrifice a female lamb","Go to the priest to talk about it","Sacrifice two doves or two young pigeons","Leviticus 5",""
"2017/12/20 8:53:46 PM EST","Where did Abram go when there was a great famine in the land?","Egypt","The promised land","Canaan","Babel","Genesis 12:10",""
"2017/12/20 8:56:43 PM EST","Who were the Israelites named after?","Jacob","Abraham","Isaac","Moses","Genesis 32:28","Brent Keath"
"2017/12/20 9:02:33 PM EST","Which of the following is not one of the ten commandments?","You shall not harm your neighbor","Keep the Sabbath holy","You shall not covet your neighbor's house","You shall not take the lord's name in vain","Exodus 20",""
"2017/12/20 9:05:45 PM EST","Why does Israel ask for a king?","To be like other nations","To establish a more stable government","Because all of the prophets were gone","So they would know who to look to during times of war","1 Samuel 8","Brent Keath"
"2017/12/20 9:09:19 PM EST","Where does Ruth's mother-in-law Naomi live when her husband dies?","Moab","Egypt","Canaan","Judah","Ruth 1","Brent Keath"
"2017/12/20 9:12:46 PM EST","Why does an angel try to attack Balaam?","He was on his way to curse Israel","He was leading an army to attack Israel","He stole supplies, a donkey, and food from Israel","He was sent by King Balak to spy on the Israelites","Numbers 22","Brent Keath"
"2017/12/20 9:15:01 PM EST","What did Daniel do to be thrown into the lion's den?","He prayed to God","He mocked Darius","He interpreted dreams","He helped a poor Israelite","Daniel 6","Brent Keath"
"2017/12/20 10:05:24 PM EST","How did Nehemiah know King Artaxerxes?","He was the king's cupbearer","He was the king's son-in-law","He served in the king's army","God sent him to prophesy to the king","Nehemiah 1","Jillian "
"2017/12/20 10:07:31 PM EST","What animal is never mentioned in the Bible?","Cat","Dog","Mouse","Rabbit","","Jillian"
"2017/12/20 10:14:22 PM EST","What was not part of the dreams that Joseph interrupted for Pharaoh?  ","Smoke","Wind","Grain","The Nile","Genesis 41-42","Jillian Keath"
"2017/12/20 10:19:56 PM EST","What was David's palace made of?","Cedar wood","Stone","Clay and mortar ","Gold","2 Samuel 7","Jillian Keath"
"2017/12/20 10:34:36 PM EST","Why was Samuel confused when God first spoke to him as a child?","Samuel thought it was Eli calling to him","God gave Samuel a vision without an explanation ","Samuel was given a message about the future that seemed impossible","At first God spoke in a language Samuel did not understand","1 Samuel 3","Jillian Keath"
"2017/12/20 10:47:49 PM EST","Who selected Isaac's wife for him?","An unnamed servant","Abraham","The High Priest","Sarah","Genesis 24","Jillian Keath"
